DATAFLOW,FREQ,REF_AREA,MEASURE,ACTIVITY,SIZE_CLASS,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H492,S10T19,ENT,2011,1761,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4922,_T,ENT,2011,167450,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4922,S1T9,ENT,2011,164512,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4923,S1T9,ENT,2011,154483,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4923,S10T49,ENT,2011,2548,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4923,S_GE250,ENT,2011,77,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4921,S10T49,ENT,2011,321,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H492,S1T9,ENT,2011,319085,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H492,S1T19,ENT,2011,320846,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4922,S_GE10,ENT,2011,2938,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4921,S50T249,ENT,2011,339,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H492,S50T249,ENT,2011,2563,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4921,S1T9,ENT,2011,91,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H492,_T,ENT,2011,326550,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4923,S50T249,PS,2011,95930,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4921,S10T49,PS,2011,8000,A,0,0
