tech,country,year,coef,value,unit,provenance
AIR.DOM,JM,Y22,fuel_envelope,439.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,JM,Y23,fuel_envelope,140.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,JO,Y21,fuel_envelope,7100.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,JO,Y22,fuel_envelope,10495.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,JO,Y23,fuel_envelope,13494.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,JP,Y21,intensity_electricity,0.1893,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,JP,Y21,intensity_liquid,0.0201,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,JP,Y21,intensity_liquid,0.7744,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,JP,Y21,fuel_envelope,94959.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,JP,Y22,intensity_electricity,0.1572,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,JP,Y22,intensity_liquid,0.0167,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,JP,Y22,intensity_liquid,0.7814,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,JP,Y22,fuel_envelope,134367.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,JP,Y23,intensity_electricity,0.1417,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,JP,Y23,intensity_liquid,0.015,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,JP,Y23,intensity_liquid,0.7786,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,JP,Y23,fuel_envelope,141589.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KE,Y21,fuel_envelope,1172.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KE,Y22,fuel_envelope,2059.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KE,Y23,fuel_envelope,1365.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KG,Y21,fuel_envelope,661.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KG,Y22,fuel_envelope,661.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KG,Y23,fuel_envelope,308.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KH,Y21,fuel_envelope,53.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KH,Y22,fuel_envelope,183.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KH,Y23,fuel_envelope,328.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KI,Y21,fuel_envelope,34.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KI,Y22,fuel_envelope,35.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KI,Y23,fuel_envelope,35.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KM,Y21,fuel_envelope,238.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KM,Y22,fuel_envelope,264.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KM,Y23,fuel_envelope,286.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,KR,Y21,intensity_electricity,0.1399,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,KR,Y21,intensity_liquid,0.0389,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,KR,Y21,intensity_liquid,0.5571,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,KR,Y21,fuel_envelope,67182.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,KR,Y22,intensity_electricity,0.1226,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,KR,Y22,intensity_liquid,0.0285,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,KR,Y22,intensity_liquid,0.1544,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,KR,Y22,fuel_envelope,66266.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,KR,Y23,intensity_electricity,0.1128,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,KR,Y23,intensity_liquid,0.0233,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,KR,Y23,intensity_liquid,0.1572,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,KR,Y23,fuel_envelope,35487.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KY,Y21,fuel_envelope,17.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KY,Y22,fuel_envelope,60.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KY,Y23,fuel_envelope,82.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KZ,Y21,fuel_envelope,6695.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KZ,Y22,fuel_envelope,13371.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,KZ,Y23,fuel_envelope,15854.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LA,Y21,fuel_envelope,44.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LA,Y22,fuel_envelope,25.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LA,Y23,fuel_envelope,44.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LC,Y21,fuel_envelope,92.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LC,Y22,fuel_envelope,97.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LC,Y23,fuel_envelope,101.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LK,Y21,fuel_envelope,1152.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LK,Y22,fuel_envelope,48.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LK,Y23,fuel_envelope,412.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LR,Y21,fuel_envelope,198.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LR,Y22,fuel_envelope,220.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LR,Y23,fuel_envelope,229.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,LT,Y21,intensity_electricity,0.0029,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,LT,Y21,intensity_liquid,0.1544,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,LT,Y21,intensity_liquid,41.925,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,LT,Y21,intensity_total,7.9698,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,LT,Y21,fuel_envelope,13.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,LT,Y22,intensity_electricity,0.0059,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,LT,Y22,intensity_liquid,0.1581,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,LT,Y22,intensity_liquid,12.1182,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,LT,Y22,intensity_total,9.0856,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,LT,Y22,fuel_envelope,8.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,LT,Y23,intensity_electricity,0.0071,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,LT,Y23,intensity_liquid,0.1854,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,LT,Y23,intensity_liquid,8.2061,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,LT,Y23,intensity_total,10.4599,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,LT,Y23,fuel_envelope,44.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,LU,Y21,intensity_electricity,1.0848,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,LU,Y21,intensity_liquid,0.3059,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,LU,Y21,intensity_liquid,0.0176,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
TRN.P+TRN.F,LU,Y22,intensity_electricity,0.9289,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,LU,Y22,intensity_liquid,0.2112,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,LU,Y22,intensity_liquid,0.0232,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
TRN.P+TRN.F,LU,Y23,intensity_electricity,0.7675,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,LU,Y23,intensity_liquid,0.1798,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,LU,Y23,intensity_liquid,0.0326,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
TRN.P+TRN.F,LV,Y21,intensity_electricity,0.0305,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,LV,Y21,intensity_liquid,0.1393,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
PIPE.T,LV,Y21,intensity_total,0.0559,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,LV,Y21,fuel_envelope,11.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,LV,Y22,intensity_electricity,0.0293,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,LV,Y22,intensity_liquid,0.1277,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
PIPE.T,LV,Y22,intensity_total,0.0781,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,LV,Y22,fuel_envelope,51.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,LV,Y23,intensity_electricity,0.039,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,LV,Y23,intensity_liquid,0.1633,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,LV,Y23,fuel_envelope,30.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LY,Y21,fuel_envelope,275.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LY,Y22,fuel_envelope,156.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,LY,Y23,fuel_envelope,344.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MA,Y21,fuel_envelope,689.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MA,Y22,fuel_envelope,1157.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MA,Y23,fuel_envelope,1460.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,MD,Y21,intensity_liquid,0.2813,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,MD,Y21,intensity_liquid,12.7976,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
TRN.P+TRN.F,MD,Y22,intensity_liquid,0.1746,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,MD,Y23,intensity_liquid,0.2398,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,MG,Y21,fuel_envelope,134.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MG,Y22,fuel_envelope,307.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MG,Y23,fuel_envelope,321.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,MK,Y21,intensity_electricity,0.1232,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,MK,Y21,intensity_liquid,0.1512,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,MK,Y22,intensity_electricity,0.1309,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,MK,Y22,intensity_liquid,0.1429,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,MK,Y23,intensity_liquid,0.266,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,MM,Y21,fuel_envelope,5232.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MM,Y22,fuel_envelope,4144.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MM,Y23,fuel_envelope,3688.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MN,Y21,fuel_envelope,88.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MN,Y22,fuel_envelope,396.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MN,Y23,fuel_envelope,593.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MR,Y21,fuel_envelope,705.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MR,Y22,fuel_envelope,793.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MR,Y23,fuel_envelope,793.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MT,Y21,fuel_envelope,29.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MT,Y22,fuel_envelope,29.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MT,Y23,fuel_envelope,35.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MU,Y21,fuel_envelope,1380.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MU,Y22,fuel_envelope,5322.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MU,Y23,fuel_envelope,4057.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MV,Y21,fuel_envelope,661.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MV,Y22,fuel_envelope,1054.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MV,Y23,fuel_envelope,1129.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MW,Y21,fuel_envelope,4.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MW,Y22,fuel_envelope,4.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MW,Y23,fuel_envelope,44.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,MX,Y21,intensity_electricity,0.0613,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,MX,Y21,intensity_liquid,0.162,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,MX,Y21,intensity_liquid,1.0386,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,MX,Y21,fuel_envelope,59232.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,MX,Y22,intensity_electricity,0.0669,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,MX,Y22,intensity_liquid,0.271,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,MX,Y22,intensity_liquid,1.5388,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,MX,Y22,fuel_envelope,81072.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,MX,Y23,intensity_electricity,0.0639,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,MX,Y23,intensity_liquid,0.2562,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,MX,Y23,fuel_envelope,87289.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MY,Y21,fuel_envelope,8547.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MY,Y22,fuel_envelope,25874.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MY,Y23,fuel_envelope,27326.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MZ,Y21,fuel_envelope,926.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MZ,Y22,fuel_envelope,1479.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,MZ,Y23,fuel_envelope,1411.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NA,Y21,fuel_envelope,79.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NA,Y22,fuel_envelope,107.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NA,Y23,fuel_envelope,111.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NC,Y21,fuel_envelope,199.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NC,Y22,fuel_envelope,234.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NC,Y23,fuel_envelope,259.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NE,Y21,fuel_envelope,264.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NE,Y22,fuel_envelope,326.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NE,Y23,fuel_envelope,364.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NG,Y21,fuel_envelope,1880.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NG,Y22,fuel_envelope,8539.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NG,Y23,fuel_envelope,9454.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NI,Y23,fuel_envelope,3.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,NL,Y21,intensity_electricity,0.3235,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,NL,Y21,intensity_liquid,0.0461,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,NL,Y21,intensity_liquid,0.2462,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,NL,Y21,fuel_envelope,327.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,NL,Y22,intensity_electricity,0.2518,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,NL,Y22,intensity_liquid,0.0365,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,NL,Y22,intensity_liquid,0.2728,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,NL,Y22,fuel_envelope,401.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,NL,Y23,intensity_electricity,0.2348,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,NL,Y23,intensity_liquid,0.0388,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,NL,Y23,intensity_liquid,0.3082,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,NL,Y23,fuel_envelope,354.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,NO,Y21,intensity_electricity,0.4166,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,NO,Y21,intensity_liquid,0.0997,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,NO,Y21,intensity_liquid,2.6043,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,NO,Y21,fuel_envelope,11277.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,NO,Y22,intensity_electricity,0.3669,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,NO,Y22,intensity_liquid,0.0983,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,NO,Y22,intensity_liquid,2.9383,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,NO,Y22,fuel_envelope,14777.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,NO,Y23,intensity_electricity,0.344,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,NO,Y23,intensity_liquid,0.1042,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,NO,Y23,intensity_liquid,2.7579,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,NO,Y23,fuel_envelope,14835.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NP,Y21,fuel_envelope,901.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NP,Y22,fuel_envelope,1015.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,NP,Y23,fuel_envelope,1120.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,NZ,Y21,intensity_electricity,0.0435,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,NZ,Y21,fuel_envelope,11135.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,NZ,Y22,intensity_electricity,0.0434,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,NZ,Y22,fuel_envelope,13950.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,NZ,Y23,intensity_electricity,0.0475,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,NZ,Y23,fuel_envelope,14724.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,OM,Y21,fuel_envelope,704.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,OM,Y22,fuel_envelope,1346.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,OM,Y23,fuel_envelope,1953.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PA,Y21,fuel_envelope,409.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PA,Y22,fuel_envelope,820.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PA,Y23,fuel_envelope,1212.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PE,Y21,fuel_envelope,8532.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PE,Y22,fuel_envelope,11619.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PE,Y23,fuel_envelope,12816.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PF,Y21,fuel_envelope,612.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PF,Y22,fuel_envelope,670.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PF,Y23,fuel_envelope,875.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PG,Y21,fuel_envelope,3135.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PG,Y22,fuel_envelope,2927.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PG,Y23,fuel_envelope,3880.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PH,Y21,fuel_envelope,8537.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PH,Y22,fuel_envelope,15152.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PH,Y23,fuel_envelope,16317.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PK,Y21,fuel_envelope,10798.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,PK,Y22,fuel_envelope,12363.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
