tech,country,year,coef,value,unit,provenance
AIR.DOM,BE,Y22,fuel_envelope,88.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BE,Y23,intensity_electricity,0.5052,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BE,Y23,intensity_liquid,0.0898,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,BE,Y23,intensity_liquid,0.8994,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,BE,Y23,fuel_envelope,88.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BG,Y21,intensity_electricity,0.2452,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BG,Y21,intensity_liquid,0.0751,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,BG,Y21,intensity_liquid,0.0057,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,BG,Y21,intensity_total,4.6721,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,BG,Y21,fuel_envelope,206.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BG,Y22,intensity_electricity,0.2098,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BG,Y22,intensity_liquid,0.0651,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,BG,Y22,intensity_liquid,0.0141,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,BG,Y22,intensity_total,4.5155,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,BG,Y22,fuel_envelope,333.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BG,Y23,intensity_electricity,0.2169,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BG,Y23,intensity_liquid,0.0665,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,BG,Y23,intensity_liquid,0.0139,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,BG,Y23,intensity_total,5.5926,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,BG,Y23,fuel_envelope,241.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BH,Y21,fuel_envelope,1719.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BH,Y22,fuel_envelope,1675.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BH,Y23,fuel_envelope,1940.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BJ,Y21,fuel_envelope,0.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BJ,Y22,fuel_envelope,6.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BJ,Y23,fuel_envelope,6.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BN,Y22,fuel_envelope,142.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BN,Y23,fuel_envelope,132.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BO,Y21,fuel_envelope,3647.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BO,Y22,fuel_envelope,4053.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BO,Y23,fuel_envelope,4435.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BR,Y21,fuel_envelope,106678.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BR,Y22,fuel_envelope,132576.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BR,Y23,fuel_envelope,139542.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BS,Y21,fuel_envelope,817.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BS,Y22,fuel_envelope,1180.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BS,Y23,fuel_envelope,1237.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BW,Y21,fuel_envelope,31.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BW,Y22,fuel_envelope,25.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BW,Y23,fuel_envelope,42.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BY,Y21,fuel_envelope,661.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BY,Y22,fuel_envelope,617.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BY,Y23,fuel_envelope,617.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BZ,Y21,fuel_envelope,168.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BZ,Y22,fuel_envelope,175.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BZ,Y23,fuel_envelope,189.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CA,Y21,intensity_liquid,0.202,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
PIPE.T,CA,Y21,intensity_total,0.6386,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CA,Y21,fuel_envelope,72057.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CA,Y22,intensity_liquid,0.2074,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
PIPE.T,CA,Y22,intensity_total,0.6977,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CA,Y22,fuel_envelope,100417.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CA,Y23,intensity_liquid,0.1996,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
PIPE.T,CA,Y23,intensity_total,0.6422,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CA,Y23,fuel_envelope,110177.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CD,Y23,fuel_envelope,44.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CF,Y21,fuel_envelope,519.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CF,Y22,fuel_envelope,571.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CF,Y23,fuel_envelope,594.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CG,Y21,fuel_envelope,412.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CG,Y22,fuel_envelope,554.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CG,Y23,fuel_envelope,597.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CH,Y21,intensity_electricity,0.401,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CH,Y21,intensity_liquid,0.0151,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,CH,Y21,intensity_liquid,39.6822,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
