region,sector,extracted_t,cell_share,weight
IE,Construction (45),15199.0,0.079,0.6
IE,"Retail trade, except of motor vehicles and motorcycles;",13588.0,0.132,1.0
IE,"Manure treatment (conventional), storage and land appli",7164.0,0.093,0.7
IE,"Sale, maintenance, repair of motor vehicles, motor vehi",6450.0,0.132,1.0
IE,"Manufacture of cement, lime and plaster",4265.0,0.066,0.5
IE,Manufacture of beverages,3756.0,0.106,0.8
IE,Processing of Food products nec,1776.0,0.106,0.8
IN,"Manufacture of cement, lime and plaster",967535.0,0.305,0.5
IN,Sugar refining,948009.0,0.488,0.8
IN,Manufacture of ceramic goods,907717.0,0.305,0.5
IN,Processing of Food products nec,603389.0,0.488,0.8
IN,Processed rice,580750.0,0.488,0.8
IN,"Wholesale trade and commission trade, except of motor v",564547.0,0.609,1.0
IN,"Manure treatment (conventional), storage and land appli",542774.0,0.427,0.7
IN,Construction (45),504524.0,0.366,0.6
IT,"Wholesale trade and commission trade, except of motor v",141426.0,0.194,1.0
IT,"Retail trade, except of motor vehicles and motorcycles;",93519.0,0.194,1.0
IT,Construction (45),64477.0,0.116,0.6
IT,"Sale, maintenance, repair of motor vehicles, motor vehi",25306.0,0.194,1.0
IT,"Manufacture of cement, lime and plaster",24705.0,0.097,0.5
IT,Manufacture of beverages,21491.0,0.155,0.8
IT,Manufacture of glass and glass products,18844.0,0.097,0.5
IT,Processing of Food products nec,15430.0,0.155,0.8
JP,Construction (45),335980.0,0.087,0.6
JP,"Wholesale trade and commission trade, except of motor v",329472.0,0.145,1.0
JP,Recycling of waste and scrap,161371.0,0.101,0.7
JP,"Retail trade, except of motor vehicles and motorcycles;",108771.0,0.145,1.0
JP,"Sale, maintenance, repair of motor vehicles, motor vehi",59653.0,0.145,1.0
JP,Hotels and restaurants (55),13398.0,0.043,0.3
JP,"Manufacture of cement, lime and plaster",11670.0,0.072,0.5
JP,Processing of Food products nec,8689.0,0.116,0.8
KR,Construction (45),164827.0,0.107,0.6
KR,"Wholesale trade and commission trade, except of motor v",160279.0,0.178,1.0
KR,"Retail trade, except of motor vehicles and motorcycles;",112782.0,0.178,1.0
KR,"Sale, maintenance, repair of motor vehicles, motor vehi",36036.0,0.178,1.0
KR,Paper,26948.0,0.071,0.4
KR,"Manufacture of cement, lime and plaster",15069.0,0.089,0.5
KR,Processing of Food products nec,10368.0,0.142,0.8
KR,Manufacture of machinery and equipment n.e.c. (29),9786.0,0.053,0.3
LT,Construction (45),12384.0,0.25,0.6
LT,Manufacture of beverages,5341.0,0.334,0.8
LT,"Manufacture of cement, lime and plaster",3886.0,0.209,0.5
LT,"Manure treatment (conventional), storage and land appli",3190.0,0.292,0.7
