region,activity,s_ele,u_need,net,residual
CA,"Biogasification of sewage slugde, incl. land application",175.14790004566586,1.446843904074315,1.446843904074315,173.70105614159155
CA,Coal,80230.49476163951,2545.601751900296,2545.601751900296,77684.89300973921
CA,Gas,331124.005273695,10664.03215373818,10664.03215373818,320459.9731199568
CA,Hydro,1240263.1136171352,40430.05573674924,40430.05573674924,1199833.057880386
CA,Incineration of waste: Food,251.4414563334767,6.806903333902011,6.806903333902011,244.6345529995747
CA,Incineration of waste: Oil/Hazardous waste,9.305013287048016,5.45457884838161,5.45457884838161,3.8504344386664062
CA,Incineration of waste: Paper,301.01038078073293,7.232798265222283,7.232798265222283,293.77758251551063
CA,Incineration of waste: Plastic,213.5479409291572,67.1336816003057,67.1336816003057,146.41425932885147
CA,Incineration of waste: Textiles,25.71739076241681,19.43479348754069,19.43479348754069,6.282597274876117
CA,Incineration of waste: Wood,18.094989574608142,7.856382300388452,7.856382300388452,10.23860727421969
CA,Other Fossil,18485.370069797027,604.4731597558093,604.4731597558093,17880.896910041218
CA,Solar,24313.625700062275,788.9864660446808,788.9864660446808,23524.639234017595
CA,Wind,139279.83631830328,4499.215375799792,4499.215375799792,134780.62094250348
CA,Nuclear,306188.01127329166,9884.75298777911,9884.75298777911,296303.25828551257
CH,Bioenergy,9078.154929178394,0.0,0.0,9078.154929178394
CH,"Biogasification of food waste, incl. land application",267.105758740498,1.302178193062216,1.302178193062216,265.8035805474358
CH,"Biogasification of paper, incl. land application",37.098022031674134,0.1372157643236507,0.1372157643236507,36.960806267350485
CH,Gas,1185.3319970916823,31.415906112817808,31.415906112817808,1153.9160909788645
CH,Hydro,162916.26219336953,6471.332193985041,6471.332193985041,156444.9299993845
CH,Incineration of waste: Food,3339.483931262338,256.0167792343349,256.0167792343349,3083.467152028003
CH,Incineration of waste: Oil/Hazardous waste,974.0161466533208,55.42032897258602,55.42032897258602,918.5958176807347
CH,Incineration of waste: Paper,3339.483931262338,179.0134744551554,179.0134744551554,3160.4704568071825
CH,Incineration of waste: Plastic,727.5564120204331,15.530831045556146,15.530831045556146,712.0255809748769
CH,Incineration of waste: Textiles,753.4452943486172,37.30129714278018,37.30129714278018,716.143997205837
CH,Incineration of waste: Wood,954.2357067604167,34.47102670859111,34.47102670859111,919.7646800518256
CH,Other Fossil,5044.91838020774,0.0,0.0,5044.91838020774
