site,year,eta_total,eta_elec_plants,eta_chp_total,eta_coal,eta_mgas,eta_peat,eta_oilshale,eta_gas,eta_oil,eta_bio,eta_waste,eta_coal_el,eta_mgas_el,eta_peat_el,eta_oilshale_el,eta_gas_el,eta_oil_el,eta_bio_el,eta_waste_el,fuel_in_PJ,elec_out_TWh,heat_out_PJ,flags,step0_decision,arbitrated_decision
AD,Y21,0.457,,0.457,,,,,0.527,,,0.415,,,,,0.174,,,0.324,0.4,0.03,0.1,,,
AD,Y22,0.492,,0.492,,,,,0.578,,,0.447,,,,,0.142,,,0.261,0.4,0.02,0.1,,,
AD,Y23,0.562,,0.562,,,,,0.559,,,0.565,,,,,0.169,,,0.284,0.4,0.03,0.1,,,
AE,Y21,0.356,0.356,,,,,,0.356,0.34,0.667,0.303,,,,,0.356,0.34,0.667,0.303,1348.1,133.23,0.0,,UNSD,UNSD
AE,Y22,0.343,0.343,,,,,,0.343,0.343,0.667,0.297,,,,,0.343,0.343,0.667,0.297,1342.5,127.79,0.0,,UNSD,UNSD
AE,Y23,0.366,0.366,,,,,,0.365,0.339,0.667,0.565,,,,,0.365,0.339,0.667,0.565,1191.6,121.21,0.0,,UNSD,UNSD
AF,Y21,0.36,0.36,,,,,,0.4,0.276,,,,,,,0.4,0.276,,,2.6,0.26,0.0,,REVIEW|dtot,UNSD(eta)
AF,Y22,0.371,0.371,,,,,,0.4,0.268,,,,,,,0.4,0.268,,,2.3,0.24,0.0,,REVIEW|dtot,UNSD(eta)
AF,Y23,0.372,0.372,,,,,,0.4,0.255,,,,,,,0.4,0.255,,,1.7,0.17,0.0,,REVIEW|dtot,UNSD(eta)
AG,Y21,0.322,0.322,,,,,,,0.322,,,,,,,,0.322,,,3.9,0.35,0.0,,UNSD,UNSD
AG,Y22,0.325,0.325,,,,,,,0.325,,,,,,,,0.325,,,3.9,0.35,0.0,,UNSD,UNSD
AG,Y23,0.34,0.34,,,,,,,0.34,,,,,,,,0.34,,,3.9,0.37,0.0,,UNSD,UNSD
AI,Y21,0.353,0.353,,,,,,,0.353,,,,,,,,0.353,,,1.0,0.1,0.0,,,
AI,Y22,0.375,0.375,,,,,,,0.375,,,,,,,,0.375,,,1.0,0.1,0.0,,,
AI,Y23,0.375,0.375,,,,,,,0.375,,,,,,,,0.375,,,1.0,0.11,0.0,,,
AM,Y21,0.379,0.378,0.574,,,,,0.379,,,,,,,,0.378,,,,32.2,3.38,0.0,,UNSD,UNSD
AM,Y22,0.423,0.423,0.299,,,,,0.423,,,,,,,,0.423,,,,33.0,3.88,0.0,eta_chp_total,UNSD,UNSD
AM,Y23,0.449,0.45,0.392,,,,,0.449,,,,,,,,0.449,,,,29.8,3.72,0.0,,UNSD,UNSD
AO,Y21,0.367,0.367,,,,,,0.427,0.301,0.641,,,,,,0.427,0.301,0.641,,34.3,3.5,0.0,,UNSD,UNSD
AO,Y22,0.365,0.365,,,,,,0.486,0.277,0.641,,,,,,0.486,0.277,0.641,,30.1,3.05,0.0,,UNSD,UNSD
AO,Y23,0.313,0.313,,,,,,0.486,0.249,0.641,,,,,,0.486,0.249,0.641,,47.0,4.08,0.0,,UNSD,UNSD
AR,Y21,0.418,0.417,,0.264,0.368,,,0.458,0.229,0.291,,0.264,0.368,,,0.458,0.229,0.291,,927.8,107.63,0.0,,REVIEW,UNSD(eta)
AR,Y22,0.456,0.456,,0.273,0.375,,,0.506,0.395,0.194,,0.273,0.375,,,0.506,0.395,0.194,,771.5,97.69,0.0,,REVIEW,UNSD(eta)
AR,Y23,0.419,0.419,,0.264,0.181,,,0.461,0.371,0.153,,0.264,0.181,,,0.461,0.371,0.153,,733.8,85.35,0.0,,REVIEW,UNSD(eta)
AS,Y21,0.36,0.36,,,,,,,0.36,,,,,,,,0.36,,,1.8,0.18,0.0,,UNSD,UNSD
AS,Y22,0.36,0.36,,,,,,,0.36,,,,,,,,0.36,,,1.8,0.18,0.0,,UNSD,UNSD
AS,Y23,0.36,0.36,,,,,,,0.36,,,,,,,,0.36,,,1.8,0.18,0.0,,UNSD,UNSD
AT,Y21,0.663,0.377,0.752,0.687,0.42,,,0.686,0.418,0.767,0.582,0.573,0.362,,,0.37,0.175,0.196,0.16,238.8,18.68,91.0,,UNSD,UNSD
AT,Y22,0.679,0.445,0.756,0.723,0.449,,,0.69,0.686,0.751,0.575,0.72,0.387,,,0.41,0.274,0.21,0.169,221.4,19.01,81.9,,UNSD,UNSD
AT,Y23,0.678,0.4,0.76,0.866,0.451,,,0.705,0.714,0.748,0.543,0.866,0.387,,,0.376,0.293,0.205,0.157,197.9,15.49,78.4,,UNSD,UNSD
AU,Y21,0.322,0.32,0.344,0.313,,,,0.346,0.372,0.459,,0.313,,,,0.346,0.372,0.459,,2215.1,198.1,0.0,eta_chp_total,UNSD,UNSD
AU,Y22,0.323,0.321,0.341,0.314,,,,0.345,0.394,0.453,,0.314,,,,0.345,0.394,0.453,,2126.8,190.73,0.0,eta_chp_total,UNSD,UNSD
AU,Y23,0.321,0.319,0.341,0.311,,,,0.341,0.391,0.441,,0.311,,,,0.341,0.391,0.441,,2071.9,184.46,0.0,eta_chp_total,UNSD,UNSD
AW,Y21,0.343,0.343,,,,,,,0.343,,,,,,,,0.343,,,8.1,0.77,0.0,,UNSD,UNSD
AW,Y22,0.338,0.338,,,,,,,0.338,,,,,,,,0.338,,,8.3,0.78,0.0,,UNSD,UNSD
AW,Y23,0.338,0.338,,,,,,,0.338,,,,,,,,0.338,,,8.3,0.78,0.0,,UNSD,UNSD
AZ,Y21,0.43,0.42,0.416,,,,,0.434,0.379,,0.23,,,,,0.374,0.378,,0.23,255.6,26.46,14.7,,UNSD,UNSD
AZ,Y22,0.433,0.422,0.423,,,,,0.435,0.366,,0.239,,,,,0.38,0.355,,0.239,259.8,27.3,14.1,,UNSD,UNSD
AZ,Y23,0.435,0.42,0.44,,,,,0.437,0.378,,0.252,,,,,0.378,0.368,,0.252,261.8,27.41,15.2,,UNSD,UNSD
BA,Y21,0.35,0.32,0.67,0.339,0.202,,,0.827,0.458,0.648,,0.316,0.202,,,0.008,0.277,0.072,,133.1,11.29,6.0,,UNSD,UNSD
BA,Y22,0.342,0.312,0.711,0.33,0.24,,,0.845,0.457,0.709,,0.308,0.24,,,0.017,0.309,0.067,,134.0,11.14,5.7,,UNSD,UNSD
BA,Y23,0.335,0.302,0.701,0.322,0.219,,,0.839,0.377,0.701,,0.297,0.219,,,0.016,0.307,0.069,,122.6,9.81,5.7,,UNSD,UNSD
BB,Y21,0.545,0.545,,,,,,0.544,0.548,0.307,,,,,,0.544,0.548,0.307,,6.2,0.94,0.0,,UNSD,UNSD
BB,Y22,0.48,0.48,,,,,,0.522,0.48,0.44,,,,,,0.522,0.48,0.44,,7.2,0.96,0.0,,UNSD,UNSD
BB,Y23,0.486,0.486,,,,,,0.49,0.488,0.426,,,,,,0.49,0.488,0.426,,7.3,0.98,0.0,,UNSD,UNSD
BD,Y21,0.401,0.401,,0.298,,,,0.419,0.334,,,0.298,,,,0.419,0.334,,,809.2,90.03,0.0,,UNSD,UNSD
BD,Y22,0.421,0.421,,0.331,,,,0.433,0.401,,,0.331,,,,0.433,0.401,,,801.9,93.81,0.0,,UNSD,UNSD
BD,Y23,0.373,0.373,,0.328,,,,0.402,0.324,,,0.328,,,,0.402,0.324,,,973.1,100.93,0.0,,UNSD,UNSD
BE,Y21,0.541,0.429,0.661,0.841,0.414,,,0.614,0.636,0.508,0.314,0.841,0.414,,,0.518,0.612,0.449,0.212,242.3,30.68,20.6,,UNSD,UNSD
BE,Y22,0.529,0.432,0.646,0.842,0.419,,,0.592,0.642,0.496,0.33,0.842,0.419,,,0.51,0.633,0.437,0.239,243.2,30.77,17.9,,UNSD,UNSD
BE,Y23,0.537,0.43,0.63,0.848,0.417,,,0.614,0.643,0.554,0.303,0.848,0.417,,,0.532,0.628,0.44,0.227,199.3,25.41,15.5,,UNSD,UNSD
BF,Y21,0.356,0.356,,,,,,,0.417,0.29,0.158,,,,,,0.417,0.29,0.158,15.0,1.49,0.0,,REVIEW,UNSD(eta)
BF,Y22,0.246,0.246,,,,,,,0.38,0.29,0.064,,,,,,0.38,0.29,0.064,20.3,1.39,0.0,eta_waste,REVIEW,EMBER(eta)
BF,Y23,0.244,0.244,,,,,,,0.378,0.3,0.064,,,,,,0.378,0.3,0.064,20.8,1.41,0.0,eta_waste,REVIEW,EMBER(eta)
BG,Y21,0.305,0.202,0.6,0.217,,,,0.691,0.464,0.545,0.813,0.197,,,,0.223,0.439,0.285,0.0,397.8,23.08,38.1,,UNSD,UNSD
BG,Y22,0.276,0.199,0.613,0.211,,,,0.761,0.502,0.536,0.812,0.197,,,,0.199,0.47,0.3,0.0,467.1,26.58,33.3,eta_elec_plants,UNSD,UNSD
BG,Y23,0.321,0.197,0.593,0.222,,,0.775,0.772,0.431,0.546,0.835,0.194,,,0.359,0.197,0.389,0.298,0.0,279.0,15.83,32.5,eta_elec_plants,UNSD,UNSD
BH,Y21,0.326,0.326,,,,,,0.326,0.668,,,,,,,0.326,0.668,,,391.2,35.41,0.0,,UNSD,UNSD
BH,Y22,0.331,0.331,,,,,,0.331,0.38,,,,,,,0.331,0.38,,,401.0,36.88,0.0,,UNSD,UNSD
BH,Y23,0.339,0.339,,,,,,0.339,0.38,,,,,,,0.339,0.38,,,404.0,38.09,0.0,,UNSD,UNSD
BI,Y21,0.344,0.344,,,,,,,0.355,0.415,,,,,,,0.355,0.415,,1.3,0.12,0.0,,REVIEW,UNSD(eta)
BI,Y22,0.321,0.321,,,,,,,0.344,0.453,,,,,,,0.344,0.453,,1.4,0.12,0.0,,REVIEW,UNSD(eta)
BI,Y23,0.366,0.366,,,,,,,0.391,0.536,,,,,,,0.391,0.536,,0.8,0.08,0.0,,REVIEW,UNSD(eta)
BJ,Y21,0.43,0.43,,,,,,0.448,0.372,,,,,,,0.448,0.372,,,9.3,1.11,0.0,,UNSD,UNSD
BJ,Y22,0.396,0.396,,,,,,0.425,0.327,,,,,,,0.425,0.327,,,8.8,0.97,0.0,,UNSD,UNSD
BJ,Y23,0.324,0.324,,,,,,0.323,0.328,,,,,,,0.323,0.328,,,8.1,0.73,0.0,,UNSD,UNSD
BL,Y21,0.445,0.445,,,,,,,0.445,,,,,,,,0.445,,,1.1,0.13,0.0,,,
BL,Y22,0.448,0.445,,,,,,,0.445,,0.938,,,,,,0.445,,0.0,1.2,0.14,0.0,,,
BL,Y23,0.45,0.445,,,,,,,0.445,,0.958,,,,,,0.445,,0.0,1.2,0.15,0.0,,,
BM,Y21,0.398,0.398,,,,,,,0.438,,0.09,,,,,,0.438,,0.09,5.2,0.58,0.0,eta_waste,UNSD,UNSD
BM,Y22,0.403,0.403,,,,,,,0.442,,0.109,,,,,,0.442,,0.109,5.0,0.56,0.0,eta_waste,UNSD,UNSD
BM,Y23,0.391,0.391,,,,,,,0.432,,0.089,,,,,,0.432,,0.089,5.1,0.55,0.0,eta_waste,UNSD,UNSD
BN,Y21,0.312,0.312,,0.512,,,,0.281,0.35,,,0.512,,,,0.281,0.35,,,65.8,5.7,0.0,,UNSD,UNSD
BN,Y22,0.33,0.33,,0.517,,,,0.3,0.367,,,0.517,,,,0.3,0.367,,,61.0,5.6,0.0,,UNSD,UNSD
BN,Y23,0.327,0.327,,0.517,,,,0.298,0.318,,,0.517,,,,0.298,0.318,,,61.8,5.61,0.0,,UNSD,UNSD
BO,Y21,0.327,0.327,,,,,,0.387,0.331,0.202,,,,,,0.387,0.331,0.202,,79.1,7.17,0.0,,REVIEW,UNSD(eta)
BO,Y22,0.361,0.361,,,,,,0.402,0.341,0.31,,,,,,0.402,0.341,0.31,,77.5,7.77,0.0,,REVIEW,UNSD(eta)
BO,Y23,0.362,0.362,,,,,,0.388,0.283,0.329,,,,,,0.388,0.283,0.329,,87.5,8.79,0.0,,REVIEW,UNSD(eta)
BQ,Y21,0.425,0.425,,,,,,,0.425,,,,,,,,0.425,,,1.0,0.12,0.0,,,
BQ,Y22,0.428,0.428,,,,,,,0.428,,,,,,,,0.428,,,1.1,0.13,0.0,,,
BQ,Y23,0.369,0.369,,,,,,,0.369,,,,,,,,0.369,,,1.4,0.14,0.0,,,
BR,Y21,0.391,0.254,1.12,0.291,1.374,,,0.384,0.38,0.687,,0.291,1.374,,,0.384,0.38,0.687,,1742.7,189.3,0.0,eta_chp_total;eta_mgas,UNSD,UNSD
BR,Y22,0.385,0.171,0.934,0.205,0.369,,,0.346,0.362,0.777,0.766,0.205,0.369,,,0.346,0.362,0.777,0.766,1154.4,123.47,0.0,eta_elec_plants,UNSD,UNSD
BR,Y23,0.381,0.155,0.939,0.202,0.359,,,0.345,0.357,0.796,0.485,0.202,0.359,,,0.345,0.357,0.796,0.485,1136.3,120.12,0.0,eta_elec_plants,UNSD,UNSD
BS,Y21,0.328,0.328,,,,,,,0.328,,,,,,,,0.328,,,22.1,2.01,0.0,,UNSD,UNSD
BS,Y22,0.373,0.373,,,,,,,0.373,,,,,,,,0.373,,,22.5,2.33,0.0,,UNSD,UNSD
BS,Y23,0.393,0.393,,,,,,,0.393,,,,,,,,0.393,,,21.0,2.29,0.0,,UNSD,UNSD
BT,Y21,0.32,0.32,,,,,,,0.32,,,,,,,,0.32,,,0.0,0.0,0.0,,UNSD,UNSD
BT,Y22,0.304,0.304,,,,,,,0.304,,,,,,,,0.304,,,0.0,0.0,0.0,,UNSD,UNSD
BT,Y23,0.335,0.335,,,,,,,0.335,,,,,,,,0.335,,,0.0,0.0,0.0,,UNSD,UNSD
BW,Y21,0.222,0.222,,0.221,,,,,0.252,,,0.221,,,,,0.252,,,38.9,2.4,0.0,,UNSD,UNSD
BW,Y22,0.189,0.189,,0.187,,,,,0.251,,,0.187,,,,,0.251,,,48.5,2.54,0.0,eta_total;eta_elec_plants,UNSD,UNSD
BW,Y23,0.231,0.231,,0.23,,,,,0.251,,,0.23,,,,,0.251,,,48.1,3.08,0.0,,UNSD,UNSD
BY,Y21,0.663,0.407,0.719,0.737,,0.823,,0.662,0.597,0.696,0.816,0.0,,0.026,,0.229,0.294,0.041,0.124,582.9,34.75,261.6,,UNSD,UNSD
BY,Y22,0.665,0.407,0.719,0.737,,0.823,,0.664,0.599,0.697,0.816,0.0,,0.025,,0.223,0.289,0.04,0.119,545.4,31.73,248.7,,UNSD,UNSD
BY,Y23,0.669,0.407,0.719,0.736,,0.823,,0.668,0.603,0.698,0.816,0.0,,0.023,,0.212,0.278,0.037,0.111,528.0,29.13,248.6,,UNSD,UNSD
BZ,Y21,0.131,0.199,0.124,,,,,,0.319,0.211,,,,,,,0.319,0.211,,5.6,0.2,0.0,eta_total;eta_elec_plants;eta_chp_total,EMBER|dtot,EMBER|dtot
BZ,Y22,0.147,0.273,0.137,,,,,,0.309,0.256,,,,,,,0.309,0.256,,5.4,0.22,0.0,eta_total;eta_chp_total,EMBER|dtot,EMBER|dtot
BZ,Y23,0.169,0.314,0.138,,,,,,0.319,0.257,,,,,,,0.319,0.257,,5.1,0.24,0.0,eta_total;eta_chp_total,EMBER|dtot,EMBER|dtot
CA,Y21,0.376,0.361,0.486,0.405,0.43,,,0.368,0.284,0.381,0.548,0.405,0.43,,,0.347,0.281,0.349,0.115,1307.1,129.39,25.1,,UNSD,UNSD
CA,Y22,0.374,0.36,0.467,0.401,0.429,,,0.373,0.277,0.381,0.548,0.401,0.429,,,0.353,0.276,0.346,0.115,1298.0,128.03,25.0,,UNSD,UNSD
CA,Y23,0.372,0.358,0.452,0.397,0.43,,,0.369,0.288,0.381,0.548,0.397,0.43,,,0.351,0.287,0.347,0.115,1377.1,135.23,25.8,,UNSD,UNSD
CD,Y21,0.41,0.41,,,,,,,0.41,,,,,,,,0.41,,,0.0,0.0,0.0,,REVIEW,UNSD(eta)
CD,Y22,0.404,0.404,,,,,,,0.404,,,,,,,,0.404,,,0.0,0.01,0.0,,REVIEW,UNSD(eta)
CD,Y23,0.302,0.302,,,,,,,0.302,,,,,,,,0.302,,,0.1,0.01,0.0,,REVIEW,UNSD(eta)
CF,Y21,0.358,0.358,,,,,,,0.358,,,,,,,,0.358,,,0.0,0.0,0.0,,UNSD,UNSD
CF,Y22,0.381,0.381,,,,,,,0.381,,,,,,,,0.381,,,0.0,0.0,0.0,,UNSD,UNSD
CF,Y23,0.366,0.366,,,,,,,0.366,,,,,,,,0.366,,,0.0,0.0,0.0,,UNSD,UNSD
CG,Y21,0.199,0.199,,,,,,0.199,0.256,,,,,,,0.199,0.256,,,43.5,2.41,0.0,eta_total;eta_elec_plants,REVIEW|dtot,EMBER(eta)
CG,Y22,0.199,0.199,,,,,,0.199,0.256,,,,,,,0.199,0.256,,,44.3,2.45,0.0,eta_total;eta_elec_plants,REVIEW|dtot,EMBER(eta)
CG,Y23,0.199,0.199,,,,,,0.199,0.24,,,,,,,0.199,0.24,,,40.8,2.26,0.0,eta_total;eta_elec_plants,REVIEW|dtot,EMBER(eta)
CH,Y21,0.562,0.349,0.552,,,,,0.69,0.651,0.654,0.516,,,,,0.254,0.228,0.266,0.176,67.5,3.79,24.3,,UNSD,UNSD
CH,Y22,0.551,0.349,0.54,,,,,0.705,0.675,0.619,0.509,,,,,0.233,0.231,0.267,0.18,65.0,3.66,22.6,,UNSD,UNSD
CH,Y23,0.558,0.349,0.544,,,,,0.761,0.534,0.624,0.508,,,,,0.147,0.188,0.273,0.171,66.6,3.51,24.5,,UNSD,UNSD
CI,Y21,0.353,0.353,,,,,,0.378,0.273,0.08,,,,,,0.378,0.273,0.08,,91.1,8.93,0.0,eta_bio,REVIEW,EMBER(eta)
CI,Y22,0.358,0.358,,,,,,0.386,0.377,0.072,,,,,,0.386,0.377,0.072,,95.0,9.46,0.0,eta_bio,REVIEW,EMBER(eta)
CI,Y23,0.365,0.365,,,,,,0.391,0.385,0.096,,,,,,0.391,0.385,0.096,,102.2,10.36,0.0,eta_bio,REVIEW,EMBER(eta)
CK,Y21,0.345,0.345,,,,,,,0.345,,,,,,,,0.345,,,0.3,0.03,0.0,,EMBER,EMBER
CK,Y22,0.344,0.344,,,,,,,0.344,,,,,,,,0.344,,,0.3,0.03,0.0,,EMBER,EMBER
CK,Y23,0.344,0.344,,,,,,,0.344,,,,,,,,0.344,,,0.4,0.03,0.0,,EMBER,EMBER
CL,Y21,0.271,0.349,0.092,0.309,,,,0.429,0.403,0.092,,0.309,,,,0.429,0.403,0.092,,666.4,50.15,0.0,eta_chp_total;eta_bio,UNSD,UNSD
CL,Y22,0.263,0.345,0.085,0.307,,,,0.399,0.425,0.085,,0.307,,,,0.399,0.425,0.085,,615.7,44.94,0.0,eta_chp_total;eta_bio,UNSD,UNSD
CL,Y23,0.279,0.387,0.106,0.366,,,,0.41,0.363,0.106,,0.366,,,,0.41,0.363,0.106,,498.8,38.6,0.0,eta_chp_total;eta_bio,UNSD,UNSD
CM,Y21,0.286,0.286,,,,,,0.282,0.301,0.388,,,,,,0.282,0.301,0.388,,34.6,2.75,0.0,,REVIEW,UNSD(eta)
CM,Y22,0.287,0.287,,,,,,0.282,0.301,0.388,,,,,,0.282,0.301,0.388,,31.1,2.48,0.0,,REVIEW,UNSD(eta)
CM,Y23,0.287,0.287,,,,,,0.282,0.301,0.388,,,,,,0.282,0.301,0.388,,24.8,1.98,0.0,,REVIEW,UNSD(eta)
CN,Y21,0.478,0.405,,0.487,0.289,,,0.526,0.303,0.205,0.382,0.341,0.218,,,0.526,0.12,0.155,0.293,61525.3,5805.87,8523.8,,UNSD,UNSD
CN,Y22,0.491,0.407,,0.501,0.285,,,0.547,0.343,0.215,0.385,0.336,0.208,,,0.547,0.122,0.157,0.286,63212.7,5888.79,9843.4,,UNSD,UNSD
CN,Y23,0.495,0.406,,0.507,0.271,,,0.521,0.343,0.201,0.404,0.337,0.196,,,0.521,0.118,0.145,0.298,67401.2,6265.74,10804.6,,UNSD,UNSD
CO,Y21,0.289,0.289,,0.367,0.3,,,0.412,0.36,0.092,,0.367,0.3,,,0.412,0.36,0.092,,255.9,20.52,0.0,eta_bio,UNSD,UNSD
CO,Y22,0.303,0.303,,0.42,0.3,,,0.411,0.36,0.094,,0.42,0.3,,,0.411,0.36,0.094,,274.5,23.14,0.0,eta_bio,UNSD,UNSD
CO,Y23,0.309,0.309,,0.367,0.3,,,0.396,0.351,0.113,,0.367,0.3,,,0.396,0.351,0.113,,348.1,29.91,0.0,eta_bio,UNSD,UNSD
CR,Y21,0.429,0.173,0.441,,,,,,0.157,0.809,,,,,,,0.157,0.809,,1.6,0.19,0.0,eta_elec_plants,REVIEW,EMBER(eta)
CR,Y22,0.35,0.417,0.284,,,,,,0.417,0.552,,,,,,,0.417,0.552,,1.6,0.16,0.0,eta_chp_total,REVIEW,EMBER(eta)
CR,Y23,0.364,0.372,0.295,,,,,,0.372,0.642,,,,,,,0.372,0.642,,6.6,0.66,0.0,eta_chp_total,REVIEW,EMBER(eta)
CU,Y21,0.299,0.299,,,,,,0.35,0.304,0.284,,,,,,0.35,0.304,0.284,,211.8,17.58,0.0,,UNSD,UNSD
CU,Y22,0.278,0.278,,,,,,0.36,0.274,0.276,,,,,,0.36,0.274,0.276,,199.4,15.37,0.0,,UNSD,UNSD
CU,Y23,0.272,0.272,,,,,,0.36,0.262,0.313,,,,,,0.36,0.262,0.313,,198.2,14.99,0.0,,UNSD,UNSD
CV,Y21,0.411,0.411,,,,,,,0.411,,,,,,,,0.411,,,3.3,0.38,0.0,,REVIEW,UNSD(eta)
CV,Y22,0.41,0.41,,,,,,,0.41,,,,,,,,0.41,,,3.9,0.44,0.0,,REVIEW,UNSD(eta)
CV,Y23,0.411,0.411,,,,,,,0.411,,,,,,,,0.411,,,4.1,0.47,0.0,,REVIEW,UNSD(eta)
CW,Y21,0.339,0.339,,,,,,,0.339,,,,,,,,0.339,,,6.9,0.65,0.0,,,
CW,Y22,0.343,0.343,,,,,,,0.343,,,,,,,,0.343,,,7.0,0.67,0.0,,,
CW,Y23,0.434,0.434,,,,,,,0.434,,,,,,,,0.434,,,6.0,0.73,0.0,,,
CY,Y21,0.394,0.391,0.754,,,,,,0.391,0.754,,,,,,,0.391,0.643,,40.3,4.4,0.0,,UNSD,UNSD
CY,Y22,0.393,0.39,0.78,,,,,,0.39,0.78,,,,,,,0.39,0.654,,40.8,4.44,0.0,,UNSD,UNSD
CY,Y23,0.386,0.383,0.781,,,,,,0.383,0.781,,,,,,,0.383,0.659,,40.1,4.29,0.0,,UNSD,UNSD
CZ,Y21,0.534,0.394,0.681,0.492,0.58,,,0.664,0.791,0.556,0.662,0.331,0.156,,,0.274,0.164,0.349,0.138,544.0,47.68,118.8,,UNSD,UNSD
CZ,Y22,0.516,0.376,0.681,0.473,0.574,,,0.728,0.796,0.537,0.626,0.333,0.158,,,0.238,0.133,0.351,0.144,539.0,47.35,107.6,,UNSD,UNSD
CZ,Y23,0.531,0.379,0.688,0.489,0.563,,,0.728,0.797,0.542,0.585,0.334,0.153,,,0.227,0.148,0.345,0.132,453.2,39.46,98.4,,UNSD,UNSD
DE,Y21,0.468,0.338,0.674,0.371,0.392,,,0.634,0.498,0.521,0.539,0.317,0.384,,,0.381,0.36,0.417,0.191,3536.8,332.19,460.5,,UNSD,UNSD
DE,Y22,0.455,0.34,0.66,0.368,0.395,,,0.617,0.524,0.535,0.541,0.32,0.394,,,0.373,0.34,0.427,0.194,3561.5,333.35,421.0,,UNSD,UNSD
DE,Y23,0.459,0.328,0.64,0.354,0.39,,,0.603,0.481,0.536,0.535,0.302,0.39,,,0.357,0.362,0.421,0.194,3018.9,273.47,400.6,,UNSD,UNSD
DJ,Y21,0.361,0.361,,,,,,,0.361,,,,,,,,0.361,,,1.3,0.13,0.0,,REVIEW,UNSD(eta)
DJ,Y22,0.222,0.222,,,,,,,0.222,,,,,,,,0.222,,,1.3,0.08,0.0,,REVIEW,UNSD(eta)
DJ,Y23,0.354,0.354,,,,,,,0.354,,,,,,,,0.354,,,1.3,0.13,0.0,,REVIEW,UNSD(eta)
DK,Y21,0.821,0.271,0.798,0.583,,,,0.795,0.62,0.879,0.952,0.373,,,,0.224,0.241,0.241,0.173,223.4,15.67,127.0,,UNSD,UNSD
DK,Y22,0.818,0.282,0.795,0.593,,,,0.805,0.662,0.882,0.938,0.369,,,,0.235,0.2,0.223,0.184,201.7,13.88,115.0,,UNSD,UNSD
DK,Y23,0.859,0.208,0.842,0.65,,,,0.796,0.594,0.903,0.955,0.34,,,,0.204,0.243,0.204,0.17,180.9,10.96,116.0,,UNSD,UNSD
DM,Y21,0.353,0.353,,,,,,,0.353,,,,,,,,0.353,,,1.3,0.12,0.0,,UNSD,UNSD
DM,Y22,0.355,0.355,,,,,,,0.355,,,,,,,,0.355,,,1.2,0.12,0.0,,UNSD,UNSD
DM,Y23,0.356,0.356,,,,,,,0.356,,,,,,,,0.356,,,1.4,0.13,0.0,,UNSD,UNSD
DO,Y21,0.418,0.413,,0.368,,,,0.475,0.422,0.359,,0.368,,,,0.475,0.422,0.359,,168.9,19.63,0.0,,REVIEW,UNSD(eta)
DO,Y22,0.44,0.435,,0.358,,,,0.592,0.416,0.395,,0.358,,,,0.592,0.416,0.395,,165.1,20.2,0.0,,REVIEW,UNSD(eta)
DO,Y23,0.383,0.379,,0.369,,,,0.484,0.273,0.326,,0.369,,,,0.484,0.273,0.326,,192.8,20.52,0.0,,REVIEW,UNSD(eta)
DZ,Y21,0.36,0.36,,,,,,0.36,0.36,,,,,,,0.36,0.36,,,846.4,84.73,0.0,,UNSD,UNSD
DZ,Y22,0.356,0.356,,,,,,0.359,0.127,,,,,,,0.359,0.127,,,914.8,90.55,0.0,eta_oil,UNSD,UNSD
DZ,Y23,0.363,0.363,,,,,,0.366,0.085,,,,,,,0.366,0.085,,,941.7,94.9,0.0,eta_oil,UNSD,UNSD
EC,Y21,0.345,0.357,0.0,,,,,0.239,0.368,0.815,,,,,,0.239,0.368,0.815,,68.2,6.54,0.0,eta_chp_total,UNSD,UNSD
EC,Y22,0.356,0.365,0.0,,,,,0.258,0.368,0.908,,,,,,0.258,0.368,0.908,,83.7,8.27,0.0,eta_chp_total,UNSD,UNSD
EC,Y23,0.367,0.376,0.0,,,,,0.275,0.378,0.759,,,,,,0.275,0.378,0.759,,95.8,9.76,0.0,eta_chp_total,UNSD,UNSD
EE,Y21,0.504,0.334,0.723,,0.334,0.772,0.369,0.727,0.513,0.672,0.846,,0.221,0.008,0.324,0.028,0.223,0.204,0.222,88.6,6.09,22.7,,UNSD,UNSD
EE,Y22,0.503,0.355,0.724,,0.388,0.852,0.381,0.655,0.623,0.709,0.778,,0.264,0.168,0.347,0.038,0.103,0.188,0.206,102.0,7.65,23.8,,UNSD,UNSD
EE,Y23,0.526,0.316,0.718,,0.368,0.735,0.384,0.809,0.642,0.611,0.861,,0.243,0.097,0.328,0.018,0.06,0.144,0.215,75.0,4.32,23.9,,UNSD,UNSD
EG,Y21,0.417,0.417,,,,,,0.426,0.335,0.314,,,,,,0.426,0.335,0.314,,1552.9,179.67,0.0,,UNSD,UNSD
EG,Y22,0.491,0.491,,,,,,0.518,0.337,0.325,,,,,,0.518,0.337,0.325,,1385.0,188.87,0.0,,UNSD,UNSD
EG,Y23,0.517,0.517,,,,,,0.55,0.337,0.328,,,,,,0.55,0.337,0.328,,1323.0,190.15,0.0,,UNSD,UNSD
ER,Y21,0.321,0.321,,,,,,,0.321,,,,,,,,0.321,,,4.4,0.39,0.0,,UNSD,UNSD
ER,Y22,0.321,0.321,,,,,,,0.321,,,,,,,,0.321,,,4.6,0.41,0.0,,UNSD,UNSD
ER,Y23,0.321,0.321,,,,,,,0.321,,,,,,,,0.321,,,4.9,0.44,0.0,,UNSD,UNSD
