site,year,eta_total,eta_elec_plants,eta_chp_total,eta_coal,eta_mgas,eta_peat,eta_oilshale,eta_gas,eta_oil,eta_bio,eta_waste,eta_coal_el,eta_mgas_el,eta_peat_el,eta_oilshale_el,eta_gas_el,eta_oil_el,eta_bio_el,eta_waste_el,fuel_in_PJ,elec_out_TWh,heat_out_PJ,flags,step0_decision,arbitrated_decision
MU,Y22,0.315,0.315,,0.247,,,,,0.445,0.382,,0.247,,,,,0.445,0.382,,32.3,2.82,0.0,,REVIEW,UNSD(eta)
MU,Y23,0.313,0.313,,0.246,,,,,0.442,0.404,,0.246,,,,,0.442,0.404,,34.7,3.01,0.0,,REVIEW,UNSD(eta)
MV,Y21,0.356,0.356,,,,,,,0.356,,,,,,,,0.356,,,11.6,1.15,0.0,,UNSD|dtot,UNSD|dtot
MV,Y22,0.351,0.351,,,,,,,0.351,,,,,,,,0.351,,,12.1,1.18,0.0,,UNSD|dtot,UNSD|dtot
MV,Y23,0.284,0.284,,,,,,,0.284,,,,,,,,0.284,,,13.9,1.1,0.0,,UNSD|dtot,UNSD|dtot
MW,Y21,0.336,0.336,,,,,,,0.847,0.297,,,,,,,0.847,0.297,,1.8,0.17,0.0,,REVIEW,UNSD(eta)
MW,Y22,0.353,0.353,,,,,,,0.762,0.297,,,,,,,0.762,0.297,,2.0,0.19,0.0,,REVIEW,UNSD(eta)
MW,Y23,0.442,0.442,,,,,,,0.759,0.43,,,,,,,0.759,0.43,,1.5,0.19,0.0,,REVIEW,UNSD(eta)
MX,Y21,0.365,0.384,0.223,0.342,0.307,,,0.375,0.364,0.195,0.465,0.342,0.307,,,0.375,0.364,0.195,0.465,2491.1,252.39,0.0,eta_chp_total,REVIEW,EMBER(eta)
MX,Y22,0.383,0.4,0.217,0.342,0.311,,,0.402,0.352,0.164,0.379,0.342,0.311,,,0.402,0.352,0.164,0.379,2421.8,257.45,0.0,eta_chp_total,REVIEW,EMBER(eta)
MX,Y23,0.387,0.403,0.218,0.342,0.32,,,0.407,0.354,0.217,0.379,0.342,0.32,,,0.407,0.354,0.217,0.379,2728.1,293.64,0.0,eta_chp_total,REVIEW,EMBER(eta)
MY,Y21,0.37,0.37,,0.346,,,,0.416,0.317,0.264,,0.346,,,,0.416,0.317,0.264,,1430.5,146.85,0.0,,UNSD,UNSD
MY,Y22,0.362,0.362,,0.338,,,,0.404,0.288,0.265,,0.338,,,,0.404,0.288,0.265,,1599.4,160.9,0.0,,UNSD,UNSD
MY,Y23,0.364,0.364,,0.342,,,,0.404,0.289,0.264,,0.342,,,,0.404,0.289,0.264,,1559.4,157.67,0.0,,UNSD,UNSD
MZ,Y21,0.408,0.408,,,,,,0.423,0.418,0.325,,,,,,0.423,0.418,0.325,,30.5,3.46,0.0,,UNSD,UNSD
MZ,Y22,0.358,0.358,,,,,,0.365,0.394,0.339,,,,,,0.365,0.394,0.339,,34.0,3.38,0.0,,UNSD,UNSD
MZ,Y23,0.386,0.386,,,,,,0.398,0.392,0.318,,,,,,0.398,0.392,0.318,,31.4,3.36,0.0,,UNSD,UNSD
NA,Y21,0.221,0.221,,0.22,,,,,0.264,,,0.22,,,,,0.264,,,0.7,0.04,0.0,,UNSD,UNSD
NA,Y22,0.182,0.182,,0.175,,,,,0.264,,,0.175,,,,,0.264,,,0.4,0.02,0.0,eta_total;eta_elec_plants,UNSD,UNSD
NA,Y23,0.187,0.187,,0.177,,,,,0.264,,,0.177,,,,,0.264,,,0.7,0.04,0.0,eta_total;eta_elec_plants,UNSD,UNSD
NC,Y21,0.279,0.279,,0.262,,,,,0.299,0.467,,0.262,,,,,0.299,0.467,,29.1,2.26,0.0,,UNSD,UNSD
NC,Y22,0.258,0.258,,0.247,,,,,0.273,0.519,,0.247,,,,,0.273,0.519,,32.5,2.33,0.0,,UNSD,UNSD
NC,Y23,0.298,0.298,,0.25,,,,,0.357,0.461,,0.25,,,,,0.357,0.461,,31.0,2.56,0.0,,UNSD,UNSD
NE,Y21,0.272,0.272,,0.326,,,,0.317,0.245,,,0.326,,,,0.317,0.245,,,8.1,0.61,0.0,,REVIEW|dtot,UNSD(eta)
NE,Y22,0.28,0.28,,0.362,,,,0.329,0.21,,,0.362,,,,0.329,0.21,,,8.3,0.64,0.0,,REVIEW|dtot,UNSD(eta)
NE,Y23,0.328,0.328,,0.279,,,,0.137,0.374,,,0.279,,,,0.137,0.374,,,11.7,1.07,0.0,eta_gas,REVIEW|dtot,EMBER(eta)
NG,Y21,0.348,0.348,,,,,,0.348,,,,,,,,0.348,,,,290.1,28.05,0.0,,UNSD,UNSD
NG,Y22,0.348,0.348,,,,,,0.348,,,,,,,,0.348,,,,305.5,29.51,0.0,,UNSD,UNSD
NG,Y23,0.348,0.348,,,,,,0.348,,,,,,,,0.348,,,,327.3,31.64,0.0,,UNSD,UNSD
NI,Y21,0.287,0.287,,,,,,,0.386,0.209,,,,,,,0.386,0.209,,27.6,2.2,0.0,,UNSD,UNSD
NI,Y22,0.274,0.274,,,,,,,0.371,0.195,,,,,,,0.371,0.195,,29.8,2.27,0.0,,UNSD,UNSD
NI,Y23,0.275,0.275,,,,,,,0.33,0.211,,,,,,,0.33,0.211,,34.1,2.61,0.0,,UNSD,UNSD
NL,Y21,0.556,0.474,0.601,0.443,0.422,,,0.617,0.658,0.539,0.433,0.429,0.408,,,0.487,0.25,0.349,0.201,750.2,88.31,99.0,,UNSD,UNSD
NL,Y22,0.548,0.468,0.594,0.437,0.404,,,0.619,0.69,0.521,0.425,0.425,0.397,,,0.481,0.24,0.341,0.202,685.1,78.54,92.6,,UNSD,UNSD
NL,Y23,0.552,0.468,0.589,0.43,0.41,,,0.615,0.721,0.479,0.43,0.42,0.392,,,0.478,0.268,0.3,0.201,594.9,67.6,85.3,,UNSD,UNSD
NO,Y21,0.647,0.505,0.564,0.692,0.529,,,0.34,0.349,0.667,0.864,0.228,0.515,,,0.238,0.235,0.009,0.091,38.6,1.29,20.4,,UNSD,UNSD
NO,Y22,0.692,0.349,0.658,0.568,0.356,,,0.545,0.395,0.701,0.868,0.199,0.345,,,0.51,0.213,0.01,0.1,39.2,1.92,20.3,,UNSD,UNSD
NO,Y23,0.744,0.541,0.724,0.544,0.555,,,0.632,0.842,0.708,0.863,0.164,0.523,,,0.587,0.055,0.01,0.101,39.5,2.14,21.7,,UNSD,UNSD
NP,Y21,0.368,0.368,,,,,,,0.368,,,,,,,,0.368,,,0.0,0.0,0.0,,UNSD,UNSD
NP,Y22,0.368,0.368,,,,,,,0.368,,,,,,,,0.368,,,0.0,0.0,0.0,,UNSD,UNSD
NR,Y21,0.393,0.393,,,,,,,0.393,,,,,,,,0.393,,,0.4,0.04,0.0,,REVIEW,UNSD(eta)
NR,Y22,0.37,0.37,,,,,,,0.37,,,,,,,,0.37,,,0.4,0.04,0.0,,REVIEW,UNSD(eta)
NR,Y23,0.371,0.371,,,,,,,0.371,,,,,,,,0.371,,,0.4,0.04,0.0,,REVIEW,UNSD(eta)
NU,Y21,0.356,0.356,,,,,,,0.356,,,,,,,,0.356,,,0.0,0.0,0.0,,,
NU,Y22,0.353,0.353,,,,,,,0.353,,,,,,,,0.353,,,0.0,0.0,0.0,,,
NU,Y23,0.363,0.363,,,,,,,0.363,,,,,,,,0.363,,,0.0,0.0,0.0,,,
NZ,Y21,0.345,0.439,0.207,0.397,0.3,,,0.417,0.322,0.146,,0.397,0.3,,,0.417,0.322,0.146,,94.2,9.04,0.0,eta_chp_total;eta_bio,UNSD,UNSD
NZ,Y22,0.319,0.433,0.198,0.374,0.3,,,0.394,0.3,0.143,,0.374,0.3,,,0.394,0.3,0.143,,75.3,6.68,0.0,eta_chp_total;eta_bio,UNSD,UNSD
NZ,Y23,0.304,0.402,0.187,0.38,0.3,,,0.368,0.321,0.139,,0.38,0.3,,,0.368,0.321,0.139,,73.7,6.22,0.0,eta_chp_total;eta_bio,UNSD,UNSD
OM,Y21,0.471,0.471,,,,,,0.474,0.406,,,,,,,0.474,0.406,,,313.1,40.99,0.0,,UNSD,UNSD
OM,Y22,0.495,0.495,,,,,,0.499,0.401,,,,,,,0.499,0.401,,,309.0,42.51,0.0,,UNSD,UNSD
OM,Y23,0.474,0.474,,,,,,0.475,0.41,,,,,,,0.475,0.41,,,341.9,45.01,0.0,,UNSD,UNSD
PA,Y21,0.313,0.328,0.034,0.344,,,,0.29,0.48,0.068,0.245,0.344,,,,0.29,0.48,0.068,0.245,52.0,4.52,0.0,eta_chp_total;eta_bio,REVIEW,EMBER(eta)
PA,Y22,0.381,0.4,0.07,0.346,,,,0.496,0.45,0.14,0.24,0.346,,,,0.496,0.45,0.14,0.24,44.9,4.74,0.0,eta_chp_total;eta_bio,REVIEW,EMBER(eta)
PA,Y23,0.409,0.424,0.069,0.358,,,,0.49,0.429,0.138,0.236,0.358,,,,0.49,0.429,0.138,0.236,58.3,6.63,0.0,eta_chp_total;eta_bio,REVIEW,EMBER(eta)
PE,Y21,0.407,0.407,,0.415,,,,0.432,0.407,0.212,,0.415,,,,0.432,0.407,0.212,,202.2,22.85,0.0,,UNSD,UNSD
PE,Y22,0.416,0.416,,0.314,,,,0.439,0.455,0.219,,0.314,,,,0.439,0.455,0.219,,235.6,27.22,0.0,,UNSD,UNSD
PE,Y23,0.412,0.412,,0.405,,,,0.434,0.445,0.233,,0.405,,,,0.434,0.445,0.233,,259.2,29.67,0.0,,UNSD,UNSD
PF,Y21,0.386,0.386,,,,,,,0.386,,,,,,,,0.386,,,4.5,0.48,0.0,,UNSD,UNSD
PF,Y22,0.389,0.389,,,,,,,0.389,,,,,,,,0.389,,,4.0,0.44,0.0,,UNSD,UNSD
